MSSubClass,Nominal,
MSZoning,Nominal,add ordinal
LotFrontage,Numerical,
LotArea,Numerical,
Street,Nominal,
Alley,Nominal,add ordinal
LotShape,Nominal,add ordinal
LandContour,Nominal,
Utilities,Ordinal,
LotConfig,Nominal,
LandSlope,Ordinal,
Neighborhood,Nominal,
Condition1,Nominal,add nominal
Condition2,Nominal,add nominal
BldgType,Ordinal,
HouseStyle,Ordinal,
OverallQual,Ordinal,
OverallCond,Ordinal,
YearBuilt,Nominal,
YearRemodAdd,Nominal,
RoofStyle,Nominal,
RoofMatl,Nominal,
Exterior1st,Nominal,
Exterior2nd,Nominal,
MasVnrType,Nominal ,add nominal
MasVnrArea,Numerical,
ExterQual,Ordinal,
ExterCond,Ordinal,
Foundation,Nominal,
BsmtQual,Ordinal,add nominal
BsmtCond,Ordinal,add nominal
BsmtExposure,Ordinal,add nominal
BsmtFinType1,Ordinal,
BsmtFinSF1,Numerical,
BsmtFinType2,Ordinal,
BsmtFinSF2,Numerical,
BsmtUnfSF,Numerical,
TotalBsmtSF,Numerical,
Heating,Nominal,
HeatingQC,Ordinal,
CentralAir,Ordinal,
Electrical,Ordinal,
1stFlrSF,Numerical,
2ndFlrSF,Numerical,
LowQualFinSF,Numerical,
GrLivArea,Numerical,
BsmtFullBath,Numerical,
BsmtHalfBath,Numerical,
FullBath,Numerical,
HalfBath,Numerical,
BedroomAbvGr,Numerical,
KitchenAbvGr,Numerical,
KitchenQual,Ordinal,
TotRmsAbvGrd,Numerical,
Functional,Ordinal,
Fireplaces,Nominal,
FireplaceQu,Ordinal,
GarageType,Nominal,add nominal
GarageYrBlt,Nominal,
GarageFinish,Ordinal,
GarageCars,Numerical,
GarageArea,Numerical,
GarageQual,Ordinal,
GarageCond,Ordinal,
PavedDrive,Ordinal,
WoodDeckSF,Numerical,
OpenPorchSF,Numerical,
EnclosedPorch,Numerical,
3SsnPorch,Numerical,
ScreenPorch,Numerical,
PoolArea,Numerical,add nominal
PoolQC,Ordinal,add nominal
Fence,Ordinal,add nominal
MiscFeature,Nominal,add nominal
MiscVal,Numerical,
MoSold,Nominal,
YrSold,Nominal,
SaleType,Nominal,
SaleCondition,Nominal,
