Id,SalePrice
1461,58660
1462,76303
1463,92267
1464,96179
1465,96818
1466,86650
1467,87451
1468,80903
1469,96606
1470,59246
1471,93240
1472,48094
1473,49272
1474,73691
1475,52713
1476,179233
1477,119572
1478,147814
1479,151268
1480,252560
1481,154986
1482,103509
1483,90729
1484,81679
1485,94896
1486,97714
1487,173365
1488,118857
1489,94191
1490,124554
1491,97793
1492,43735
1493,91694
1494,152144
1495,146628
1496,121899
1497,90028
1498,86867
1499,80461
1500,80956
1501,87870
1502,72201
1503,149702
1504,119371
1505,112659
1506,99950
1507,125269
1508,102127
1509,78883
1510,75175
1511,83746
1512,90885
1513,75729
1514,74986
1515,99588
1516,72612
1517,80125
1518,64797
1519,109390
1520,63839
1521,66332
1522,93451
1523,55754
1524,67704
1525,59729
1526,56673
1527,52371
1528,67297
1529,77189
1530,84083
1531,60101
1532,45993
1533,75386
1534,65983
1535,76910
1536,54144
1537,34325
1538,76569
1539,98657
1540,44708
1541,74113
1542,69300
1543,90135
1544,44652
1545,54491
1546,67678
1547,65037
1548,67558
1549,59619
1550,70828
1551,53616
1552,69788
1553,81290
1554,57171
1555,87659
1556,49197
1557,57833
1558,50321
1559,42323
1560,67164
1561,61562
1562,65662
1563,58048
1564,85314
1565,73177
1566,117065
1567,40815
1568,122555
1569,67285
1570,70015
1571,60156
1572,71942
1573,111348
1574,62111
1575,113862
1576,126711
1577,89855
1578,77424
1579,69944
1580,95447
1581,78254
1582,61341
1583,146663
1584,110791
1585,68916
1586,33139
1587,57711
1588,73163
1589,50949
1590,63722
1591,46326
1592,61495
1593,60767
1594,62588
1595,52445
1596,109986
1597,89982
1598,104219
1599,83601
1600,84822
1601,33260
1602,61650
1603,51061
1604,123755
1605,124295
1606,83319
1607,85967
1608,114266
1609,87872
1610,73177
1611,68397
1612,92750
1613,84825
1614,62076
1615,47443
1616,40066
1617,48649
1618,60716
1619,69321
1620,75678
1621,71825
1622,70618
1623,126591
1624,111258
1625,57109
1626,86702
1627,93948
1628,131730
1629,88280
1630,171329
1631,108150
1632,123223
1633,84215
1634,94229
1635,89365
1636,77559
1637,103565
1638,94013
1639,95014
1640,122708
1641,90396
1642,120356
1643,106167
1644,109618
1645,104719
1646,80232
1647,76553
1648,64876
1649,68917
1650,57072
1651,58824
1652,47908
1653,50396
1654,72551
1655,64751
1656,70554
1657,74073
1658,75296
1659,53793
1660,77723
1661,199722
1662,199637
1663,200651
1664,178361
1665,161304
1666,160605
1667,193608
1668,182485
1669,148410
1670,181969
1671,129422
1672,200536
1673,139751
1674,117620
1675,99486
1676,99384
1677,111334
1678,170194
1679,190791
1680,179631
1681,130672
1682,152301
1683,92331
1684,84267
1685,88733
1686,84734
1687,83865
1688,92848
1689,94940
1690,97103
1691,93343
1692,132096
1693,83697
1694,89533
1695,78922
1696,136802
1697,79470
1698,171459
1699,162198
1700,127827
1701,134266
1702,118726
1703,121442
1704,131263
1705,118790
1706,182519
1707,115710
1708,103926
1709,130550
1710,105051
1711,132495
1712,130306
1713,139150
1714,108717
1715,102569
1716,87718
